ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
262	cross	4	cross // cross:PRS	χlɑ // χɬɑ // χɬɑ:	məq-tɑ tuŋtuŋ ʐo:puɑ-lɑ ʁu dɑ-χlɑ-jə-s-tɑ ɦɑ-ʑdʑy-ȵi i-ɕi-kui-wɑ.	above-LOC cave cave-LOC mountain DIR-cross-CSM-NOM-LOC DIR-tether-ADV DIR-put-NAR-EMPH
263	represent	2	represent	tʂi	u-ʐmu-ȵi i-tʂi-ʐ dʐə,	DIR-dream-ADV DIR-represent-CAUS able
264	cliff cave	2	cliff.cave	tuŋtuŋ	χaiʂə ȵi:-wu ɦɑlɑ ɦɑ-ʑdʑy-ȵi tə-χquatʂ-ȵi ɦɑlɑ ɦɑ-ʑdʑy-ȵi tuŋtuŋ ʐo:puɑ i-ɕi ŋuə-ku-tu.	†(still.is) 3sgREFL-AGT INT DIR-tether-ADV DIR-steal-ADV INT DIR-tether-ADV cliff.cave cave DIR-put COP-NAR-LNK
265	date	2	date	zət	zət ɑ-s ə-ʂ-kəi,	date one-day DIR-put-NAR
266	thief	2	thief	ʂku	ʂku-wu tə-χquɑtʂ-ȵi ɦɑlɑ tuŋtuŋ ʐo:pɑ ɦɑ-ʑdʑy-ȵi ʐi-ʐ.	thief-AGT DIR-steal-ADV there cliff.cave cave DIR-tether-ADV exist-CAUS
267	take	2	take	kue	ɦɑ-tsoqpi-wu phə he-kue-ȵi,	INT-this:family-AGT message DIR-take-ADV
268	set	2	set	tin	ʂətɕiɑn ə-tin-thɑ-kəi,	†time DIR-set-AUX-NAR
269	difficult	3	difficult	ʂqu // χqu	“ɕtɕə-s-ʁɑ-ŋuəȵi tse: ʐmətʂi jin-ne: ɑ-zə χqu ɦɑtə u-ʐmu-ȵi i-tʂi-s-le: ŋuə-ʂ,	seven-day-LOC-TOP this:CL emperor monk’s.robe-DEF:CL one-little difficult INT DIR-dream-ADV DIR-sign-NOM-DEF:CL COP-LNK
270	move	2	move	quq	qɑ-jin-le:-ŋuəȵi e:-wu nai-ɑ-ʂpəq-tɑ do-quq ʁu-ʂ,”	1sg-monk’s.robe-DEF:CL-TOP one:CL-AGT other-one-place-LOC DIR-move willing-LNK
271	big	2	big	ba	stuɑhɑ χaiʂə ba kə tɕhə-kəpə-k,	rice/food †(still.is) big thus eat-HABIT-INF
272	toilet	7	toilet	mɑutshɑ // mɑutshə	mɑutshɑ sei-jə-kə hɑ-qə-kəi-tu.	toilet relieve.oneself-REP-go DIR-go-NAR-LNK
273	this person)	2	†(this.person)	tʂekəʐənla	ɦɑ-tu tʂekəʐənla mi-tse-ze-ŋuəȵi,	INT-RESULT †(this.person) person-this-CL-TOP
274	wait	2	wait	zu	ɦɑ-tu puȵu-le:-wu ɦɑ-thɑ ʐmətʂi jin-le:-tɑ ɦɑ-ʁdʐe-jantɕi ɦɑlɑ u-zu-ȵi ʐi-kui-hɑ,	INT-RESULT cat-DEF:CL-AGT INT-there emperor monk’s.robe-DEF:CL-LOC DIR-bite-after there DIR-wait-ADV exist-NAR-PART
275	count	3	count	ʂe // ʂə	ɦɑlɑ puȵu-le:-tɑ zə-ʐ-ȵiɑntɕi ɦɑlɑ ʁɑ-ŋuəȵi ɕtɕi-ɸi tə-ʂe.	there cat-DEF:CL-DAT DIR-bring-after INT roof.tile-TOP seven-CL DIR-count
276	be possible)	2	†(be.possible)	khuoji	(“təp-ȵi” jə lə khuoji,	tomorrow-ADV say also †(be.possible)
277	bird	2	bird	wətshi	gənkuo wətshi-ŋuəȵi gən phulu χaiʂə pɑufu-le: ŋuə-s kɑ-hɑn ŋuə-kuɑ-ji,	parrot bird-TOP very expensive †(still.is) retaliation-DEF:CL COP-NOM INDEF:one-kind COP-NAR-HS
278	be hungry	2	be.hungry	ʂue	χuopɑu ŋuə-ʂə ɦe-ʂue-ȵi ɑ-ʂpɑ-lɑ die-ʂe-kə ʁu.”	live.treasure COP-LNK DIR-be.hungry-ADV one-place-LOC DIR-die-INF may
279	may	2	may	ʁu	χuopɑu ŋuə-ʂə ɦe-ʂue-ȵi ɑ-ʂpɑ-lɑ die-ʂe-kə ʁu.”	live.treasure COP-LNK DIR-be.hungry-ADV one-place-LOC DIR-die-INF may
280	street edge	2	†street.edge	kaijuɑn	ʁəʴ-tɑ-ŋuəȵi kaijuɑn-ʁɑ ʂpə me-we-m me-ʐi,	Han.person-DAT-TOP †street.edge-LOC bamboo NEG-exist-NOM NEG-exist
281	rope	2	rope	xʂul	ɦɑ-thɑ genkuo-le:-ŋuəȵi ɣzəifɑ qə-tɑ-ŋuəȵi xʂul lou tə-χʂə-ȵi wet lou ɦɑ-ke tə-tʂhe-le: we-kui-wɑ,	INT-there parrot-DEF:CL-TOP wing top-LOC-TOP rope DEF:one:CL DIR-tie-ADV stick DEF:one:CL INT-thus DIR-support-DEF:CL exist-NAR-EMPH
282	food	2	food	stuɑhɑ	ɦa-ka:-ʁɑ stuɑhɑ tɕhə-s ɦɑ-kɑ-hɑn lez tə-ʁə-s-le: we-kuai.	INT-INDEF:one:CL-LOC food eat-NOM INT-INDEF:one-kind fate/destiny DIR-go-NOM-DEF:CL exist-NAR
283	name	2	name	ʐmə	qɑ tɕiq dʑe-s-tɑ-ŋuəȵi ʐmə-lɑ-sɑ dɑ-m-ɑ,	1sg inside say-NOM-LOC-TOP name-DEF:one-CL DIR-forget-1sg
284	strangle(n )	2	strangle(n.)	gəz	jɑutsan-le:-ŋuəȵi gəz nə-qəti-kui.	man.eating.demon-DEF:CL-TOP strangle(n.) DIR-kill-NAR
285	change	8	change	l̥əlɑ // pian // piɑn	jɑutsan-le:-ŋuəȵi tə-pian-thɑ-ji ŋuə-kui-wɑ.	man.eating.demon-DEF:CL-TOP DIR-change-AUX-CSM COP-NAR-EMPH
286	recover	2	recover	xʂu	“ʑdʑi ɦo-tʂhup-ȵi ʑdʑi u-xʂu mɑ-lə,	sick DIR-cure-ADV sick DIR-recover NEG-able
287	anyway is)	2	†(anyway.is)	fɑntʂənʂə	qɑ-ŋuəȵi fɑntʂənʂə ʐmətʂi tsoqpi jəpɑ-q-tɑ-ŋuəȵi do-χlu mɑ-lə-jya,	1sg-TOP †(anyway.is) emperor this:family hand-top-LOC-TOP DIR-escape NEG-able-ASP:1sg
288	village	3	village	tshin // tshɑ	tʂi-le:-ŋuəȵi du-ɸu-ȵi nai-e-tshin-ʁɑ i-pə-kəi-wɑ,	son-DEF:CL-TOP run.away-ADV other-one-village-LOC DIR-arrive-NAR-EMPH
289	make(friends) // 1pl	2	make(friends):1pl	seʴ	tɕɑ-lɑ tshɑ-lɑ-ʁɑ-ŋuəȵi “ɦɑ-tsəi lokun ɦe-seʴ-ʂ,	where-LOC village-LOC-LOC-TOP INT-this.manner sworn.brother DIR-make(friends):1pl-LNK
290	chase	2	chase	dzɑ	xsə nai-e-fən-ʁɑ χaiʂə meʴʐə-lə-m-ŋuəȵi steke-lɑ ə-dzɑ-lu-kui.	new(again) other-one-CL-LOC †(still.is) seek-come-NOM-TOP behind-LOC DIR-chase-come-NAR
291	meet	2	meet	tsu	qe:ʴ ʂpaʂpa ɦɑ-ke: tu-tsu-jə-kəi.	before same.way INT-INDEF:CL DIR-meet-REP-NAR
292	consider	2	consider	sun	ʔũ qɑ mɑ-sun-ʂə,”	2sg 1sg NEG-consider-LNK
293	fight	9	fight	quɑ // quɑq // quəqua // quəquɑ	nə-quɑq-tɕə-i.	DIR-fight-3pl-HS
294	ought // 1pl	2	ought:1pl	qaʴ	ʔũ ȵɑ qɑ quəquɑ ma-qaʴ,	2sg COM 1sg fight NEG-ought:1pl
295	stop	3	stop	tɕ // χə	quəquɑ a-χə-ȵi dɑ-qə-kəi-hɑ.	fight DIR-stop-LNK DIR-go-NAR-PART
296	stay/live	2	stay/live	wəi	ɦɑlɑ xsə-tɕi-la:-ʁɑ ə-wəi-jə-kəi ha,	INT god-house(temple)-DEF:CL-LOC DIR-stay/live-REP-NAR INT
297	younger brother	2	younger.brother	tutʂ	qɑ-tutʂ ȵi:-ke: u-ʐmu-n-ɑ?”	1sg-younger.brother WH-INDEF:CL DIR-dream-2sg-Q
298	thirsty	2	thirsty	ɕpi	tsə ɦe-ɕpi-kei,	water DIR-thirsty-NAR
299	die // 1sg	2	die:1sg	ʂa	ɦɑ-tu sə-tɕh-ȵi qɑ die-me-ʂa-tu,	INT-RESULT DIR-drink-ADV 1sg DIR-NEG-die:1sg-LNK
300	pack	2	pack	le	tshəntɕɑ qɑpɑ ȵɑ tshəntitɕhin kuɑntɑusəje ɦɑlɑ ɦe-le-ȵi ʂə-ʐə-kui ha,	Chen.family old.man COM Chen.Diqing sword.and.bow INT DIR-pack-ADV exist-CAUS-NAR INT
301	lift	4	lift	qe // tsi	ɦɑlɑ ʂəpɑn-le: ɕa-la: tə-qe-kəi-tu.	INT stone.slab-DEF:CL small-DEF:CL DIR-lift-NAR-LNK
302	jump	2	jump	χsu	jə-ze wu u-χsu,	two-CL all DIR-jump
303	ride	3	ride	qtʂi // qətʂi	kuɑntɑusəje sin tə-qətʂi-ȵi dɑ-qə-kəi-wɑ.	sword.and.bow lion DIR-ride-ADV DIR-go-NAR-EMPH
304	already)	2	†(already)	jitɕin	tshəntɕɑ qɑpə-ŋuəȵi qe:ʴ jitɕin jautsan dʑemi pe-m-le:-wu ʂpəl ȵɑ ɕtɕi:mi ha-xtʂe-ȵi jitɕin the-xʂepi-ʁɑ ə-ʁɑ-s-tɑ ɦɑlɑ tə-pian-thɑ-kəi,	Chen.family old.man-TOP before †(already) man.eating.demon Dʑemi become-NOM-DEF:CL-AGT kidney COM heart DIR-take.out-ADV †(already) that-side-LOC DIR-go-NOM-LOC INT DIR-change-AUX-NAR
305	fit	2	fit	χoʂu	tɕile sin-la:-ʁɑ χoʂu-ʂə ɦɑ-ʂ-ʂɑ.	1pl lion-DEF:CL-LOC fit-LNK DIR-put-HORT
306	finish	2	finish	s	steke ȵi:-epə-te:-tɕ gueʴ-ŋuəȵi nə-qəti dɑ-s.	behind 3sgREFL-father-DEF:CL-GEN army-TOP DIR-beat.to.death DIR-finish
307	medicine	2	medicine	sipe	thɑnkhemu ȵɑ likhemu-ŋuəȵi titɑu-ʁɑ a-ʁů-ȵi ȵisues me-le:-tɕ-ŋuəȵi sipe dɑ-ɕtɕ-jə,	Thɑnkhemu COM Likhemu-TOP tunnel-LOC DIR-throw-ADV nearly.dead NEG-exist-GEN-TOP medicine DIR-feed-CSM
308	feed	2	feed	ɕtɕ	thɑnkhemu ȵɑ likhemu-ŋuəȵi titɑu-ʁɑ a-ʁů-ȵi ȵisues me-le:-tɕ-ŋuəȵi sipe dɑ-ɕtɕ-jə,	Thɑnkhemu COM Likhemu-TOP tunnel-LOC DIR-throw-ADV nearly.dead NEG-exist-GEN-TOP medicine DIR-feed-CSM
309	must	3	must	ʁza: // ʁze	“soqho-ŋuəȵi tɕile ʂe ʁze-jy,	tomorrow-TOP 1pl die must-ASP
310	demand	2	demand	jɑutɕhiu	ʐmətʂi-le:-tɑ-ŋuəȵi ɦɑ-kə jɑutɕhiu-tu-pu-k-kui-stu.	emperor-DEF:CL-DAT-TOP INT-thus demand-DIR-do-go-NAR-PART
311	help	2	help	wutʂhu	ɦɑ-tu wutʂhu-pu-m-le-ɣlə-tɑ,	INT-RESULT help-do-NOM-DEF-pl-LOC
312	pile	2	pile	w	kɑnthɑn mudʑu-ŋuəȵi ɑ-w phə tɕhe-wɑ,	†charcoal charcoal-TOP one-pile blow(burn) want-DTV
313	blow(burn)	2	blow(burn)	phə	kɑnthɑn mudʑu-ŋuəȵi ɑ-w phə tɕhe-wɑ,	†charcoal charcoal-TOP one-pile blow(burn) want-DTV
314	prepare	2	prepare	qəʑdʑi	ɦɑlɑ qəti qəʑdʑi-jə-kui.	INT kill prepare-CSM-NAR
315	affair	2	affair	ʐə	ɦɑ ʐə ɦɑ-qə-ʐə-k-wɑ,	INT affair DIR-go-CAUS-INF-EMPH
316	guest	2	guest	dʐu	ɦɑlɑ tə-meʴʐ-ȵi dʐu-ŋuəȵi xsə-s dɑ-ɕtɕ-k-wɑ,	there DIR-seek-ADV guest-TOP three-day DIR-host/feed-INF-EMPH
317	four	2	four	ɣʐə	ɦɑtə ɣʐə-s-tɑ-s-ʁɑ dɑ-tɕ-kə-tu,	INT four-day-DEF:one-day-LOC DIR-find-go-LNK
318	be last	2	be.last	xʂə	ɦɑlɑ sə-xʂə-s-tɑ ʐə-m ɦɑlɑ tsəzzi-ŋuəȵi thɑnkhemu ȵɑ likhemu-tɕ mɑ: ləzzi-ŋuəȵi do-qu-kəi,	INT DIR-be.last-NOM-LOC exist-NOM INT this:two:CL-TOP Thɑnkhemu COM Likhemu-GEN mama DEF:two:CL-TOP DIR-afraid-NAR
319	think	2	think	ʐbotɕu	ɦɑ-ke ʐbotɕu-kəi,	INT-thus think-NAR
320	in the past	1	in.the.past	qeʴlotʂu	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
321	sun	1	sun	mujuqů	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS
322	nine	1	nine	ʐguə	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS
323	burn	3	burn	se // tɕhəqhɑ // xtɕu	zəp-le: ə-tɕhəqhɑ-ʐ-əi.	earth-DEF:CL DIR-burn-CAUS-HS
324	cypress	1	cypress	zuɑmə	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
325	tree	5	tree	səɸ // səɸů // ɸu	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
326	hide	6	hide	pi // ʂuə	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
327	raise(child)	1	raise(child)	peʴʐə	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV
328	discuss	7	discuss // †discuss	dʐi // dʑe // thɑuluɑn // wu // ʂəȵi	mə ȵɑ ɣlu lə-zi i-dʐi-tɕi,	older.brother COM younger.sister DEF-CL DIR-discuss-3pl
329	each	3	each	mɑqɑ // məqɑ // ȵutɕuku	ȵutɕuku dzuɑʁl e-xʂe ɦei-bi-ȵi,	each stone.mill one-CL DIR-carry.on.back-ADV
330	head	10	head // head:LOC	q // qap // qə // qəpɑtʂɑ:	ʁu-q-tɑ-wu ɦo-ɣlu,	mountain-head-LOC-ABL DIR-roll
331	3dl	9	3dl	thizzi // thəzzi // ȵizzi	ȵizzi oqpi pə-s,	3dl one:family do-NOM
332	form	2	form	qes // qəs	ɣlu-le: mi qes mɑ-ŋ̥u̥ə̥ ke: i-ɕi.	younger.sister-DEF:CL people form NEG-COP INDEF:CL DIR-release
333	angry	1	angry	khueq	mə-le: tə-khueq,	older.brother-DEF:CL DIR-angry
334	scythe	1	scythe	duɑʁl	duɑʁl-le:-wu sə-xte-ȵi tɕetɕi-lɑ da-ʁů.	scythe-DEF:CL-INST DIR-chop-LNK everywhere-LOC DIR-throw(away)
335	chop	1	chop	xte	duɑʁl-le:-wu sə-xte-ȵi tɕetɕi-lɑ da-ʁů.	scythe-DEF:CL-INST DIR-chop-LNK everywhere-LOC DIR-throw(away)
336	throw(away)	1	throw(away)	ʁů	duɑʁl-le:-wu sə-xte-ȵi tɕetɕi-lɑ da-ʁů.	scythe-DEF:CL-INST DIR-chop-LNK everywhere-LOC DIR-throw(away)
337	smoke	1	smoke	mufů	tɕetɕi-lɑ-wu mufů tə-lɑ-ji,	everywhere-LOC-ABL smoke DIR-come-CSM
338	father(god)	1	father(god)	ɑpə	ɑpə mupithɑ-ŋuəȵi,	father(god) Mupitha-TOP
339	2dl	1	2dl	ʔizzi	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl
340	go	157	go // go:EMPH // go:PRS	k // ka: // ku // kɑ: // kə // kə: // qɑ // qə // ʁ // ʁa // ʁɑ // ʁə	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl
341	father	29	father	ep // epə // tɑtə // ɑpə	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
342	low(short)	1	low(short)	gi	ɦɑ-ʁə-ȵi ʁopu ɦe-gi-s-tɑ i-phi-kəi,	DIR-go-ADV mountain DIR-low(short)-NOM-LOC DIR-plant-NAR
343	hundred	1	hundred	khe	nai poquʂ e-khe-χan de-tɕi-le,	other livestock one-hundred-kind DIR-CON-give
344	kind	69	kind	hɑn // χan // χɑn // χən	nai poquʂ e-khe-χan de-tɕi-le,	other livestock one-hundred-kind DIR-CON-give
345	drive ahead	1	drive.ahead	wɑʁ	thizzi tə-wɑʁ,	3dl DIR-drive.ahead
346	wild creatures	1	wild.creatures	phuxʂu	ɑ-stu-χɑn phuxʂu-ŋuəȵi themle-steke ɑ-dzɑ-ʐ-ȵi.	one-thousand-kind wild.creatures-TOP 3pl-behind DIR-follow-CAUS-ADV
347	follow	2	follow	dzɑ // ʐə	ɑ-stu-χɑn phuxʂu-ŋuəȵi themle-steke ɑ-dzɑ-ʐ-ȵi.	one-thousand-kind wild.creatures-TOP 3pl-behind DIR-follow-CAUS-ADV
348	separate/divide/leave	1	separate/divide/leave	qala	qala-ʁa,	separate/divide/leave-LOC
349	NEG IMP	5	NEG.IMP	tɕe // tɕi // tɕo // tɕu // tɕɑ	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV
350	heart/mind	1	heart/mind	ɕtɕi	mutsitʂu ȵɑ tugantʂu-ŋuəȵi ɕtɕi-ků tə-nɑ-wei,	Mutsitʂu COM Tugantʂu-TOP heart/mind-inside DIR-good-HS
351	good	3	good	nɑ // nə // χɑu	mutsitʂu ȵɑ tugantʂu-ŋuəȵi ɕtɕi-ků tə-nɑ-wei,	Mutsitʂu COM Tugantʂu-TOP heart/mind-inside DIR-good-HS
352	sing	1	sing	tshuə	gue:ʴ-tɑ kə ʁza-ʁɑ zəm ɦɑ-tshuə-ȵi,	road-LOC go time-LOC song DIR-sing-ADV
353	jump/dance	1	jump/dance	χsu	zəm tu-χsu-ȵi lu-ji.	song DIR-jump/dance-LNK come-CSM
354	as a result	1	as.a.result	thəpɑktɑ	thəpɑktɑ,	as.a.result
355	3plREFL	1	3plREFL	ȵile	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS
356	frighten	1	frighten	doqu	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS
357	flee	1	flee	fu	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS
358	forest	1	forest	phu	pitɕ phu-ʁɑ ʐi-m phuxʂu pe-wei.	now forest-LOC exist-NOM wild.animals become-HS
359	remember	1	remember	tʂequɑ	e-tʂequɑ de-tshe-ȵi lu-zu-lɑ-hɑ ʁopu ti-wi-s-tɑ de-se-ku,	DIR-remember DIR-wrong-ADV China.fir-seed-DEF:one-pl mountain DIR-high-NOM-LOC DIR-sow-NAR
360	wrong	1	wrong	tshe	e-tʂequɑ de-tshe-ȵi lu-zu-lɑ-hɑ ʁopu ti-wi-s-tɑ de-se-ku,	DIR-remember DIR-wrong-ADV China.fir-seed-DEF:one-pl mountain DIR-high-NOM-LOC DIR-sow-NAR
361	cut	3	cut	tuɑ // x	lu te-x-ȵi104 tɕiʁuɑ tə-ɬi,	China.fir DIR-cut-ADV house DIR-build
362	house	4	house	tɕi // tɕiʁuɑ	lu te-x-ȵi104 tɕiʁuɑ tə-ɬi,	China.fir DIR-cut-ADV house DIR-build
363	build	1	build	ɬi	lu te-x-ȵi104 tɕiʁuɑ tə-ɬi,	China.fir DIR-cut-ADV house DIR-build
364	cut down	1	cut.down	xte	tshəmɑ ɦa-xte-ȵi zə tə-ʐge,	thorn DIR-cut.down-ADV land DIR-open
365	land	1	land	zə	tshəmɑ ɦa-xte-ȵi zə tə-ʐge,	thorn DIR-cut.down-ADV land DIR-open
366	open	3	open	qheʴ // qhəʴqhəʴ // ʐge	tshəmɑ ɦa-xte-ȵi zə tə-ʐge,	thorn DIR-cut.down-ADV land DIR-open
367	humankind	1	humankind	ʐmə	ʐmə tɕhe-tɕ ʐguə i-ɸi-ji.	humankind want-GEN grain DIR-plant-CSM
368	grain	1	grain	ʐguə	ʐmə tɕhe-tɕ ʐguə i-ɸi-ji.	humankind want-GEN grain DIR-plant-CSM
369	orphan	15	orphan	kɑpətttʂ // kɑpətʂ	kɑpətttʂ kou qe:ʴ-qe:ʴ-tu ɦɑlɑ kɑpətʂ kou ŋuə-kei-tɕu,	orphan INDEF:one:CL before-before-LNK INT orphan INDEF:one:CL COP-NAR-PART
370	get dark	7	get.dark // get.dark:PRS	xtʂə // xtʂəp // xtʂəpɑ:	kɑpətʂ tou gəs-tɑ ɦɑ-xtʂə-pɑ:-jə-tu qu-kəpə-kəi-ʂ,	orphan DEF:one:CL night-LOC DIR-get.dark-become:PRS-REP-LNK ɦe-afraid-HABIT-NAR-LNK
371	when	1	when	ʁza	tɕəu-lɑ kə ʁza-ʁɑ,	home-LOC go when-LOC
372	alone	1	alone	stu	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
373	cry,	1	cry,	zei	tu ɦala ɦe-zei,	RESULT INT DIR-cry,
374	friend	2	friend	gul // phənjəu	“ʔũ-gul zu-lu-ɑ:-wɑ,”	2sg-friend DIR-come-1sg:PRS-EMPH
375	magpie	5	magpie	ɕtɕiɕtɕaq // ɕtɕiɕtɕiɑq // ɕtɕiɕtɕɑq // ɕtɕəɕtɕɑq	χaiʂə xsə ɕtɕiɕtɕiɑq tou-ȵɑ e-tʂepe-kə-jə-kei-tɕu,	†(still.is) new(again) magpie DEF:one:CL-COM DIR-encounter-go-REP-NAR-PART
376	live	1	live	jə	ʔũ-gul i-jə-lɑ-wɑ,”	2sg-companion DIR-live-INDTV:1sg-EMPH
377	few // all	2	few:all	χsaʴwu // χsəʴwu	kɑpətʂ tou-ŋuəȵi ɦɑ-tsɑ-χsaʴwu gul ɦe-se-kei-stu.	orphan DEF:one:CL-TOP INT-this:one-few:all companion DIR-make-NAR-PART
378	make	4	make	bəl // bələ // se	kɑpətʂ tou-ŋuəȵi ɦɑ-tsɑ-χsaʴwu gul ɦe-se-kei-stu.	orphan DEF:one:CL-TOP INT-this:one-few:all companion DIR-make-NAR-PART
379	exist // all	2	exist:REDUP:all	ʂəʂe:ʴwu // ʂəʂə:ʴwu	jɑnkhui ʂəʂə:ʴwu i-pə-l-kui-tɕu.	stone.mortar exist:REDUP:all DIR-arrive-come-NAR-PART
380	meeting	7	meeting	ʐmu // ʐmə	ʐmə ɑ-lɑ ɦo-tsu-kəi,	meeting one-CL DIR-hold-NAR
381	heart	7	heart	ɕtɕi: // ɕtɕi:mi // ɕtɕi:miq // ɕtɕɑq	kɑpətʂ tou-ŋuəȵi ɕtɕi:-ků kən ɦɑ-nə-kui,	orphan DEF:one:CL-TOP heart-inside very DIR-good-NAR
382	few	3	few	jin // tɕi // χsɑ	thɑ-χsɑ i-pə-l-ku-tu,	that:one-few DIR-arrive-come-NAR-LNK
383	beat to death	6	beat.to.death // beat.to.death:PRS	qəta: // qəti	tɕile pəmaha tse: qəta:-wa,”	2pl tonight this:CL beat.to.death:PRS-EMPH
384	together	4	together	iɕtɕi // ȵiɑntɕi // ɑŋ̥u̥ə	tu the-maha-ŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphai-tu-pů-kəi-stu,	RESULT that-night-TOP †(then) exist:REDUP:all together arrange-DIR-do-NAR-PART
385	this // manner	1	this:manner	tsəi	ɦɑ-tsəi gɑnphai-tu-pů-kəi-tɕu.	INT-this:manner arrange-DIR-do-NAR-PART
386	base	1	base	ku	jankhui-le:-ŋuəȵi buzd-le:-ku-tɑ ɦɑ-nə-kui-tɕu,	stone.mortar-DEF:CL-TOP plank.stairs-DEF:CL-base-LOC DIR-sleep-NAR-PART
387	like/as	1	like/as	ʂpɑʂpɑ	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART
388	(onomatopoeia)	2	(onomatopoeia)	dzeke // tʂhəqtʂhɑqtʂhəqtʂhɑq	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART
389	flow	1	flow	phi	χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,	needle-DEF:one-pl hand-DEF:CL-LOC DIR-stab-LNK(as.soon.as) blood-flow-INDEF:CL DIR-put-NAR-PART
390	grope for	1	grope.for	mo	ə-qɑ-ȵiɑufu kɑpətʂ-tou nəʂ-ta:-ʁa mo-thɑ-jə-kui,	DIR-go-LNK(as.soon.as) orphan-DEF:one:CL bed-DEF:CL-LOC grope.for-AUX-REP-NAR
391	black	1	black	χtʂɑp	χtʂɑp-ke: ŋuə-kui-ȵiɑu,	black-INDEF:CL COP-NAR-PART
392	set fire	1	set.fire	ʂue	mə-lɑw i-ʂue-ȵi ȵiɣi-lɑ-hɑ kə-ʐi,	fire-DEF:one:pile DIR-set.fire-ADV what-DEF:one-pl thus-exist
393	one pile	1	DEF:one.pile	lɑw	mə-lɑw da-qheʴ kɑntɕhi me-pe-ȵiɑufu,	fire-DEF:one.pile DIR-open think/want NEG-correct-LNK(as.soon.as)
394	correct	1	correct	pe	mə-lɑw da-qheʴ kɑntɕhi me-pe-ȵiɑufu,	fire-DEF:one.pile DIR-open think/want NEG-correct-LNK(as.soon.as)
395	reach out	1	reach.out	tʂhu	quaha χuəlɑ kɑntɕhi ʂuətʂhuɑ-la:-ʁa su-tʂhu,	face wash think/want water.jar-DEF:CL-LOC DIR-reach.out
396	step on	2	step.on	tʂhue // tʂßhue	χsutsqhɑ-la:-ʁa ɦe-tʂßhue,	stomach-DEF:CL-LOC DIR-step.on
397	slip	1	slip	ɬɑ	dɑ-ɬɑ buzd-le:-tɑ dʑiq ɦɑ-qə-i-stu.	DIR-slip plank.stairs-DEF:CL-LOC floor DIR-go-HS-PART
